"","Time","Para01","Para02","Para03","Para04","Para05","Para06","Para07","Para08","Para09","Para10","Para11","Para12","Para13","Para14","Para15","Para16","Para17","Para18","Para19","Para20","Para21","Para22","Para23","Para24","Para25","Para26","Para27","Para28","Para29","Para30","Para31","Para32","Para33","Para34","Para35","Para36","Para37","Para38","Para39","Para40","Para41","Para42","Para43","Para44","Para45","Para46","Para47","Para48","Para49","Para50","Para51","Para52","Para53","Para54","Para55","Para56","Para57","Para58","Para59","Para60","Para61","Para62","Para63","Para64","Para65","Para66","Para67","Para68","Para69","Para70","Para71","Para72","Para73","Para74","Para75","Para76","Para77","Para78","Para79","Para80","Para81","Para82","Para83","Para84","Para85","Para86","Para87","Para88","Para89","Para90","Para91","Para92","Para93","Para94","Para95","Para96","Para97","Para98","Para99","Para100","Para101","Para102","Para103","Para104","Para105","Para106","Para107","Para108","Para109","Para110","Para111","Para112","Para113","Para114","Para115","Para116","Para117","Para118","Para119","Para120","Para121","Para122","Para123","Para124","Para125","Para126","Para127","Para128"
"1","2015/04/25_18:55:49",1,110,60,127.4,130.8,4986,75,76,0,0,1,1,12.8,55,360,1,1,129.5,161.2,14,99.7,39.5,83,121,89,125,"ADC",69,49,53,55,-4,-2,-1,-6.9,-27.3,-30.5,146.53,NA,33.6,33.3,34,34.4,34.2,33.7,33.3,34,NA,NA,NA,NA,11.33,11.33,11.35,11.31,11.33,11.28,11.33,10.95,11.42,11.42,11.45,11.42,11.42,11.45,11.47,11.05,22.48,0.2204,-591.46,-443.14,1486.29,517.395,-1551.335,-12.487,736,743,727,719,723,734,743,727,0.069,0.064,0.054,0.071,0.064,0.059,0.049,0.071,0.076,0.056,0.089,0.051,0.059,0.054,0.051,0.066,0.328,0.192,0.309,0.215,0.254,0.239,0.19,0.257,0.306,0.153,0.227,0.274,0.304,0.225,0.249,0.232,23.08,23.07,23.01,22.95,22.96,23,23.13,23.07,23.04,23.04,23.07,22.88,23.23
"2","2015/04/25_18:57:15",2,110,59,127.7,128.8,4995,71,74,0,0,2,1,15.5,55,370,2,2,125,166.4,14,100.2,39.3,80,121,88,130,"ADC",70,48,54,59,-4,-2,-1,-7.3,-28.1,-31.3,116.16,9.24,33.6,33.3,34,34.4,34.2,33.7,33.3,34,NA,NA,NA,NA,11.31,11.33,11.32,11.31,11.29,11.33,11.33,10.95,11.42,11.42,11.42,11.42,11.4,11.52,11.45,11.05,22.57,0.2203,-957.08,-593.9,-155.03,775.502,-4.195,-30.576,736,743,727,719,723,734,743,727,0.061,0.051,0.046,0.086,0.054,0.074,0.054,0.064,0.098,0.054,0.064,0.044,0.042,0.084,0.071,0.054,0.309,0.239,0.276,0.242,0.202,0.286,0.267,0.227,0.291,0.185,0.165,0.328,0.279,0.267,0.252,0.217,23.09,23.04,22.99,22.98,22.95,23.02,23.09,23.06,23.05,23,23.05,22.89,23.23
"3","2015/04/25_18:58:51",1,109.9,59,127.7,130.1,4990,74,77,0,0,1,1,12.7,55,360,2,1,103.7,163.8,14,99.9,39.7,80,121,89,124,"FDC",51,49,59,54,-4,-2,-1,-7.3,-27.3,-30.5,54.34,8.51,33.6,33.3,34,34.4,34.2,33.7,33.3,34,0.444,0.385,0.394,0.025,11.33,11.28,10.94,11.31,10.93,11.35,11.31,11.33,11.45,11.42,11.45,11.42,11.04,11.42,11.45,11.4,22.58,0.2202,-1247.02,-938.16,28.07,1092.619,-163.442,-26.002,736,743,727,719,723,734,743,727,0.064,0.049,0.061,0.091,0.059,0.059,0.042,0.064,0.076,0.051,0.066,0.051,0.056,0.069,0.042,0.056,0.294,0.22,0.267,0.234,0.217,0.279,0.182,0.306,0.262,0.15,0.207,0.353,0.309,0.229,0.254,0.259,23.08,23.04,23.02,22.98,22.99,23,23.12,23.09,23.02,23.03,23.01,22.88,23.23
"4","2015/04/25_18:59:54",1,110.1,60,128.2,131,4999,75,77,0,0,2,1,15.1,55.1,360,1,3,130.8,175.9,14,100.3,39.4,80,121,88,128,"ADC",68,50,50,54,-4,-1,-1,-7.3,-28.1,-31.3,123.26,9.39,33.6,33.3,34,34.4,34.2,33.7,33.3,34,NA,NA,NA,NA,11.31,11.33,11.35,11.35,11.33,11.33,11.3,10.93,11.42,11.42,11.45,11.42,11.42,11.42,11.42,11.02,22.67,0.2203,-1430.75,-173.96,-396.14,802.579,-154.732,-105.808,736,743,727,719,723,734,743,727,0.071,0.059,0.046,0.064,0.059,0.054,0.049,0.061,0.081,0.056,0.046,0.061,0.049,0.049,0.046,0.044,0.363,0.279,0.192,0.346,0.182,0.242,0.234,0.205,0.257,0.165,0.175,0.244,0.259,0.239,0.252,0.234,23.03,23.03,23.02,22.98,22.96,23.02,23.12,23.09,23.03,23.03,23.02,22.86,23.23
"5","2015/04/25_19:00:46",1,109.9,60,134.5,133.2,5024,85,80,0,0,1,1,12.6,55.1,360,2,2,111.6,161.3,14,100.1,39.7,76,121,89,122,"FDC",49,48,54,49,-5,-2,-1,NA,-27.3,-30.5,53.46,9.69,33.6,33.3,34,34.4,34.2,33.7,33.3,34,-0.123,0.944,1.105,0.19,11.33,11.33,11.31,11.31,10.93,11.35,11.33,11.33,11.42,11.45,11.4,11.4,11,11.45,11.42,11.42,22.78,0.2204,-1222.6,-1250.07,29.29,1236.334,-17.25,2.312,736,743,727,719,723,734,743,727,0.059,0.066,0.051,0.098,0.064,0.059,0.051,0.056,0.071,0.074,0.056,0.051,0.074,0.074,0.051,0.061,0.358,0.318,0.229,0.326,0.281,0.318,0.173,0.306,0.225,0.182,0.207,0.375,0.331,0.232,0.262,0.212,23.08,23.07,22.99,22.93,22.97,23.01,23.13,23.09,23.06,23.04,23.03,22.88,23.23
"6","2015/04/25_19:01:58",2,109.8,59,126.6,128.5,4995,72,73,0,0,2,1,15.3,55,360,1,1,165.6,163.7,14,100.2,39.6,76,123,89,131,"FDC",53,49,66,55,-4,-2,-1,-6.9,-28.1,-29.7,54.5,9.75,33.6,33.3,34,34.4,34.2,33.7,33.3,34,0.786,0.817,0.837,-0.22,11.33,11.33,11.33,11.31,10.93,11.33,11.33,11.33,11.45,11.42,11.45,11.42,11.02,11.4,11.51,11.45,22.78,0.2199,-1411.21,-474.88,-231.94,943.193,-178.446,-78.829,736,743,727,719,723,734,743,727,0.064,0.071,0.059,0.093,0.061,0.069,0.064,0.056,0.054,0.079,0.131,0.059,0.044,0.049,0.054,0.064,0.393,0.291,0.403,0.234,0.175,0.254,0.202,0.269,0.257,0.192,0.252,0.321,0.356,0.262,0.267,0.254,23.09,23.04,23.04,22.95,22.98,23.02,23.13,23.08,23.05,23.06,23.02,22.89,23.23
"7","2015/04/25_19:03:55",1,110.1,60,126.9,128.7,4986,76,74,0,0,1,1,12.8,55.1,360,1,1,103.9,163.8,14,99.9,39.6,82,122,89,128,"FDC",52,52,56,50,-4,-2,-1,-7.3,-26.9,-30.1,54.62,8.93,33.6,33.3,34,34.4,34.2,33.7,33.3,34,0.768,1.419,0.915,0.468,11.31,11.31,11.31,11.31,10.93,11.35,11.33,11.31,11.42,11.4,11.42,11.38,11.02,11.45,11.42,11.42,22.78,0.2201,-1065.12,-880.79,86.06,972.97,-166.862,-15.518,736,743,727,719,723,734,743,727,0.069,0.069,0.054,0.093,0.054,0.056,0.054,0.069,0.086,0.051,0.101,0.069,0.049,0.049,0.054,0.046,0.333,0.229,0.348,0.318,0.215,0.22,0.2,0.281,0.207,0.16,0.22,0.442,0.289,0.227,0.274,0.234,23.08,23.04,23.01,22.96,22.94,23,23.12,23.08,23.03,23.03,23.04,22.92,23.23
"8","2015/04/25_19:05:10",2,110.1,60,126.9,129,4991,74,76,0,0,2,1,15.6,55.1,360,2,2,110.7,167.9,14,100.1,39.6,79,122,89,130,"FDC",49,48,49,51,-4,-2,-1,-7.7,-26.9,-30.5,54.13,8.19,33.6,33.3,34,34.4,34.2,33.7,33.3,34,0.744,1.107,0.42,-0.241,11.33,11.31,11.31,11.31,10.93,11.32,11.31,11.33,11.42,11.4,11.42,11.42,11.02,11.42,11.42,11.45,22.78,0.2207,-1032.16,-1222.6,21.97,1127.388,61.506,16.033,736,743,727,719,723,734,743,727,0.066,0.061,0.059,0.116,0.051,0.056,0.054,0.071,0.056,0.054,0.054,0.064,0.064,0.064,0.046,0.059,0.343,0.296,0.215,0.229,0.229,0.217,0.163,0.338,0.271,0.173,0.244,0.365,0.318,0.234,0.284,0.264,23.07,23.02,23.05,22.99,22.98,23.01,23.1,23.09,23.07,23.04,23,22.87,23.23
"9","2015/04/25_19:06:15",3,109.9,60,128.9,130.1,5003,74,77,0,0,1,1,12.6,55,350,1,3,107.8,160.8,14,100.3,39.6,82,122,88,130,"FDC",56,50,67,57,-4,-2,-1,-7.7,-26.9,-30.1,54.15,8.22,33.6,33.3,34,34.4,34.2,33.7,33.3,34,0.197,1.054,0.894,0.649,11.31,11.35,11.33,11.31,10.91,11.33,11.31,11.31,11.4,11.42,11.42,11.42,11.02,11.46,11.45,11.42,22.78,0.2206,-1688.94,-752.6,-115.36,1220.963,-294.925,-78.83,736,743,727,719,723,734,743,727,0.054,0.061,0.059,0.076,0.069,0.059,0.049,0.064,0.081,0.071,0.101,0.066,0.046,0.054,0.046,0.054,0.42,0.323,0.326,0.259,0.227,0.205,0.205,0.254,0.239,0.163,0.185,0.333,0.281,0.252,0.244,0.242,23.07,23.04,23.02,22.96,22.97,23.01,23.13,23.1,23.04,23.05,23.04,22.88,23.23
"10","2015/04/25_19:07:16",4,110,60,129,127.9,4984,78,73,0,0,2,1,15.4,55.1,360,2,1,156.9,163.8,14,100.3,39.7,82,122,89,124,"FDC",51,55,53,57,-4,-2,-1,-7.7,-27.3,-30.1,54.61,8.91,33.6,33.3,34,34.4,34.2,33.7,33.3,34,0.932,1.399,0.889,0.512,11.33,11.35,11.33,11.33,10.91,11.29,11.33,11.31,11.45,11.45,11.42,11.45,11,11.42,11.4,11.42,22.78,0.2202,-882.01,-1067.57,20.14,9999,61.208,15.622,736,743,727,719,723,734,743,727,0.076,0.056,0.054,0.081,0.056,0.066,0.054,0.079,0.069,0.059,0.093,0.046,0.046,0.056,0.059,0.054,0.363,0.19,0.375,0.197,0.242,0.21,0.195,0.309,0.249,0.15,0.227,0.291,0.309,0.257,0.269,0.269,23.07,23.05,23.02,22.95,22.98,23.02,23.14,23.11,23.03,23.02,23.04,22.91,23.23
